# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:50:54.473128

[TRACK_METADATA]
parameter,value
track_name,Fragments of Time - Instrumental 40sec.wav
track_path,Tracks\Fragments of Time - Instrumental 40sec.wav
duration_seconds,40.28736961451247
sample_rate,44100
samples,1776673
channels,1
original_peak,0.9907989501953125
original_peak_dbfs,-0.08028924465179443
analysis_date,2025-10-25T08:50:54.473128

[ADVANCED_STATISTICS]
parameter,value,description
hot_peaks_rate_per_sec,187.80079395589397,Near-clipping events (>-1dBFS) per second
clip_events_rate_per_sec,0.04964335023946444,Actual clipping events (>-0.1dBFS) per second
peak_saturation_percent,2.3576088565537945,Percentage of samples above -3dBFS (heavily compressed)
max_true_peak_dbfs,-0.08028924465179443,Maximum true peak level in dBFS
peak_density_above_minus3db,0.023576088565537945,Fraction of samples above -3dBFS
frequency_crest_factor_variance,17.09705082662888,Variance of crest factors across frequency bands
frequency_crest_factor_range,12.022877813707469,Range of crest factors across frequency bands (dB)
bass_vs_treble_dynamics_ratio,0.5927659751686725,Ratio of bass dynamics to treble dynamics
frequency_balance_std,5.748267292897388,Standard deviation of RMS levels across frequencies
most_dynamic_frequency_hz,4000,Frequency band with highest crest factor
least_dynamic_frequency_hz,62.5,Frequency band with lowest crest factor
dynamic_consistency_std,0.5753112435340881,Standard deviation of crest factor over time
transient_density_per_sec,0.0,Rate of significant level changes (>3dB) per second
loudness_stability_std,0.569355845451355,Standard deviation of RMS level over time
peak_level_variance,0.0013169324956834316,Variance of peak levels over time
temporal_crest_factor_range,2.324038505554199,Range of crest factors over time (dB)
true_peak_to_rms_ratio_db,11.131468181347845,Overall dynamic range (peak to RMS ratio)
spectral_centroid_hz,508.1822966521334,Spectral centroid (brightness indicator)
bass_energy_ratio,0.6275351915678882,Fraction of energy in bass frequencies (31-125Hz)
treble_energy_ratio,0.030275042212132952,Fraction of energy in treble frequencies (4-16kHz)
mid_energy_ratio,0.342189766219979,Fraction of energy in mid frequencies (250Hz-2kHz)
peak_distribution_clipping_percent,0.00011256995519152932,Percentage of samples in clipping range (-0.1 to 0dBFS)
peak_distribution_hot_percent,0.4257395705343639,Percentage of samples in hot range (-1 to -0.1dBFS)
peak_distribution_loud_percent,1.9317567160642393,Percentage of samples in loud range (-3 to -1dBFS)
peak_distribution_moderate_percent,5.256960622466824,Percentage of samples in moderate range (-6 to -3dBFS)
peak_distribution_quiet_percent,23.609578127207424,Percentage of samples in quiet range (-12 to -6dBFS)
peak_distribution_very_quiet_percent,68.42215759456018,Percentage of samples in very quiet range (<-12dBFS)

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-0.08028924488558689,0.27760455697299397,-11.211757426233431,0.27760455697299397,-11.131468181347845,3.6022463424376796,11.131468181347843,1.1634521511310647e-05,0.27760455672919016,0.02862950973212719,0.07382994890213013,0.16218255460262299,0.2946883738040924,0.4585803747177124,0.5798900127410889,0.8346184635162358
31.250,0.20022333857730254,-14.049995272070948,0.03877217288459244,-28.3098864332299,0.19364462285011405,-14.259891161158952,5.16409898339406,14.259891161158952,1.1742318996953868e-06,0.03877217286681139,0.0023563391688291484,0.006520374573383087,0.01740399839798532,0.039747639595884114,0.06621425207838988,0.08338076510633877,0.1217244931656204
62.500,0.7663410062866265,-2.3918479463962723,0.15877635790178,-16.064572532080984,0.20718760525571372,-13.67272458568471,4.826543551028482,13.67272458568471,9.35895799368384e-07,0.1587763578990217,0.015537570138976034,0.043320383757210604,0.09431432164997132,0.15484304887717737,0.23621066826752984,0.34018818376925886,0.5330911992905416
125.000,0.8691784162409655,-1.2981105804531732,0.1349624760381835,-17.476028499402926,0.1552759174829387,-16.177917918949753,6.440148712113565,16.177917918949753,-5.668161664355341e-07,0.13496247603699327,0.013990068413878001,0.03621250376963441,0.08250622383462303,0.1443183949723655,0.20796776951197304,0.25754091682291497,0.43089902677007114
250.000,0.7321300037676729,-2.788525139951142,0.0979300594155124,-20.26196888491373,0.13376047820953474,-17.473443744962587,7.476049827165748,17.473443744962587,3.423381648881904e-07,0.09793005941491403,0.00920387926749686,0.023622007262959717,0.05257192152965662,0.09699994535995413,0.15134123707288463,0.19627077903618678,0.33117042805862884
500.000,0.66553463060405,-3.6168760730460865,0.09346669200760012,-20.667151798445033,0.1404385101985876,-17.050275725398944,7.120554031696479,17.050275725398944,-3.2777573692988757e-07,0.09346669200702538,0.009227004339826298,0.02359336626931148,0.0517474234849848,0.09478490832088313,0.14942435959468658,0.19150671504638006,0.30136990334014613
1000.000,0.4586131507129268,-6.851359165913813,0.06353735634137621,-24.019706429535034,0.13854237769371774,-17.16834726362122,7.218008068338106,17.16834726362122,4.3813644030232264e-08,0.06353735634136111,0.005625998118275441,0.014785465724534909,0.033818955639888806,0.0643808464965251,0.1031654886327045,0.13292177615897918,0.1986802601717998
2000.000,0.4416165794002723,-7.179381854136181,0.0462125375970075,-26.785092906704033,0.10464402776672338,-19.60571105256785,9.556207089326108,19.60571105256785,8.086334218613751e-08,0.04621253759693675,0.003839569160573777,0.010324817142556642,0.023866589233918895,0.045401407147803385,0.0734594737647405,0.09522328493044951,0.15235145247103926
4000.000,0.6123413128490908,-4.340418025234021,0.03178435780274847,-30.0360204246262,0.051906276999117984,-25.69560239939218,19.265492688234843,25.69560239939218,2.172267508972237e-08,0.031784357802741046,0.002087511118643587,0.00573442729148872,0.014212836764597845,0.029627875381724435,0.05063849307621947,0.06678418859438677,0.10616333330329346
8000.000,0.4135411514242429,-7.7499145923994215,0.025366455880405984,-31.995093380232863,0.0613396170926242,-24.245178787833442,16.30267757442922,24.245178787833442,-1.0325388049950877e-08,0.02536645588040388,0.0012281595994462072,0.003768047548699701,0.010393952880615724,0.02312632730381843,0.04091248314389821,0.054571233087948215,0.08755191158269889
16000.000,0.3794076650376955,-8.498167234130635,0.022667702637877492,-32.97213910900797,0.059744978097965876,-24.47397187487734,16.737808462499828,24.47397187487734,3.235133940769949e-09,0.02266770263787726,0.0005118651886981306,0.001771671583152747,0.0061664791788218565,0.016851073587759613,0.03448235988063852,0.049577083412234414,0.08825590432399426

[TIME_DOMAIN_ANALYSIS]
time_seconds,crest_factor,crest_factor_db,peak_level,rms_level,peak_level_dbfs,rms_level_dbfs
1.0,4.057663,12.165519,0.9972279,0.24576409,-0.10440073,-12.26992
3.0,3.36706,10.545016,0.9942094,0.29527524,-0.1307318,-10.675749
5.0,3.628833,11.19534,0.99228436,0.27344447,-0.14756636,-11.342906
7.0,3.6904435,11.341572,0.9899127,0.2682368,-0.16835152,-11.509923
9.0,3.4818459,10.836191,0.992192,0.2849615,-0.14837524,-10.984566
11.0,3.4828227,10.838627,0.9938398,0.2853547,-0.13396151,-10.972588
13.0,3.9045758,11.831476,0.9975051,0.2554708,-0.101986565,-11.933464
15.0,3.6624494,11.275433,0.9933162,0.27121636,-0.13853899,-11.413971
17.0,3.644809,11.233496,0.99650407,0.27340364,-0.110707544,-11.344204
19.0,3.4874353,10.850123,1.0,0.28674367,-0.080289245,-10.930412
21.0,3.4013968,10.633145,0.9963501,0.2929238,-0.11205001,-10.745195
23.0,3.308,10.391311,0.9996304,0.3021857,-0.08350025,-10.474811
25.0,3.4961984,10.871922,0.9924384,0.28386214,-0.1462184,-11.018139
27.0,3.563255,11.036939,0.9942094,0.27901718,-0.1307318,-11.16767
29.0,3.778419,11.546203,0.98803383,0.26149398,-0.18485305,-11.731056
31.0,3.5138721,10.915719,0.99476385,0.2830962,-0.1258895,-11.041609
33.0,3.3833015,10.586814,0.9965195,0.29454055,-0.110573314,-10.697388
35.0,3.4325151,10.71225,0.98831105,0.2879262,-0.18241642,-10.894666
37.0,3.3724086,10.5588045,0.98268986,0.2913911,-0.23195983,-10.790764
39.0,4.322823,12.715349,0.9975975,0.23077455,-0.101182,-12.81653

[TIME_DOMAIN_SUMMARY]
parameter,value
chunk_duration_seconds,2.0
total_chunks,20
crest_factor_mean_db,11.1040620803833
crest_factor_std_db,0.5753112435340881
crest_factor_min_db,10.391310691833496
crest_factor_max_db,12.715349197387695
peak_level_mean_dbfs,-0.1337141990661621
peak_level_std_dbfs,0.03628956526517868
rms_level_mean_dbfs,-11.237775802612305
rms_level_std_dbfs,0.569355845451355

[HISTOGRAM_DATA]
frequency_hz,bin_center,bin_count,bin_density
500,-0.9803921568627452,0.0,0.0
500,-0.9411764705882353,0.0,0.0
500,-0.9019607843137255,0.0,0.0
500,-0.8627450980392157,0.0,0.0
500,-0.8235294117647058,0.0,0.0
500,-0.7843137254901961,0.0,0.0
500,-0.7450980392156863,0.0,0.0
500,-0.7058823529411764,0.0,0.0
500,-0.6666666666666667,0.0,0.0
500,-0.6274509803921569,0.0,0.0
500,-0.5882352941176471,0.0,0.0
500,-0.5490196078431373,0.0,0.0
500,-0.5098039215686274,0.0,0.0
500,-0.47058823529411764,0.0,0.0
500,-0.4313725490196078,0.0,0.0
500,-0.39215686274509803,0.0,0.0
500,-0.35294117647058826,0.0,0.0
500,-0.3137254901960785,0.0,0.0
500,-0.27450980392156865,0.0,0.0
500,-0.23529411764705882,0.0,0.0
500,-0.19607843137254904,0.0,0.0
500,-0.1568627450980392,0.0,0.0
500,-0.11764705882352938,0.0,0.0
500,-0.0784313725490196,0.0,0.0
500,-0.03921568627450983,4.636363636363639,4.636363636363639
500,-5.551115123125783e-17,20.863636363636378,20.863636363636378
500,0.039215686274509776,0.0,0.0
500,0.07843137254901966,0.0,0.0
500,0.11764705882352944,0.0,0.0
500,0.1568627450980392,0.0,0.0
500,0.196078431372549,0.0,0.0
500,0.23529411764705876,0.0,0.0
500,0.27450980392156865,0.0,0.0
500,0.3137254901960784,0.0,0.0
500,0.3529411764705882,0.0,0.0
500,0.392156862745098,0.0,0.0
500,0.43137254901960775,0.0,0.0
500,0.47058823529411764,0.0,0.0
500,0.5098039215686274,0.0,0.0
500,0.5490196078431372,0.0,0.0
500,0.5882352941176471,0.0,0.0
500,0.6274509803921569,0.0,0.0
500,0.6666666666666666,0.0,0.0
500,0.7058823529411765,0.0,0.0
500,0.7450980392156863,0.0,0.0
500,0.7843137254901961,0.0,0.0
500,0.8235294117647058,0.0,0.0
500,0.8627450980392156,0.0,0.0
500,0.9019607843137255,0.0,0.0
500,0.9411764705882353,0.0,0.0
500,0.9803921568627451,0.0,0.0
1000,-0.9803921568627452,0.0,0.0
1000,-0.9411764705882353,0.0,0.0
1000,-0.9019607843137255,0.0,0.0
1000,-0.8627450980392157,0.0,0.0
1000,-0.8235294117647058,0.0,0.0
1000,-0.7843137254901961,0.0,0.0
1000,-0.7450980392156863,0.0,0.0
1000,-0.7058823529411764,0.0,0.0
1000,-0.6666666666666667,0.0,0.0
1000,-0.6274509803921569,0.0,0.0
1000,-0.5882352941176471,0.0,0.0
1000,-0.5490196078431373,0.0,0.0
1000,-0.5098039215686274,0.0,0.0
1000,-0.47058823529411764,0.0,0.0
1000,-0.4313725490196078,0.0,0.0
1000,-0.39215686274509803,0.0,0.0
1000,-0.35294117647058826,0.0,0.0
1000,-0.3137254901960785,0.0,0.0
1000,-0.27450980392156865,0.0,0.0
1000,-0.23529411764705882,0.0,0.0
1000,-0.19607843137254904,0.0,0.0
1000,-0.1568627450980392,0.0,0.0
1000,-0.11764705882352938,0.0,0.0
1000,-0.0784313725490196,0.0,0.0
1000,-0.03921568627450983,4.636363636363639,4.636363636363639
1000,-5.551115123125783e-17,20.863636363636378,20.863636363636378
1000,0.039215686274509776,0.0,0.0
1000,0.07843137254901966,0.0,0.0
1000,0.11764705882352944,0.0,0.0
1000,0.1568627450980392,0.0,0.0
1000,0.196078431372549,0.0,0.0
1000,0.23529411764705876,0.0,0.0
1000,0.27450980392156865,0.0,0.0
1000,0.3137254901960784,0.0,0.0
1000,0.3529411764705882,0.0,0.0
1000,0.392156862745098,0.0,0.0
1000,0.43137254901960775,0.0,0.0
1000,0.47058823529411764,0.0,0.0
1000,0.5098039215686274,0.0,0.0
1000,0.5490196078431372,0.0,0.0
1000,0.5882352941176471,0.0,0.0
1000,0.6274509803921569,0.0,0.0
1000,0.6666666666666666,0.0,0.0
1000,0.7058823529411765,0.0,0.0
1000,0.7450980392156863,0.0,0.0
1000,0.7843137254901961,0.0,0.0
1000,0.8235294117647058,0.0,0.0
1000,0.8627450980392156,0.0,0.0
1000,0.9019607843137255,0.0,0.0
1000,0.9411764705882353,0.0,0.0
1000,0.9803921568627451,0.0,0.0
2000,-0.9803921568627452,0.0,0.0
2000,-0.9411764705882353,0.0,0.0
2000,-0.9019607843137255,0.0,0.0
2000,-0.8627450980392157,0.0,0.0
2000,-0.8235294117647058,0.0,0.0
2000,-0.7843137254901961,0.0,0.0
2000,-0.7450980392156863,0.0,0.0
2000,-0.7058823529411764,0.0,0.0
2000,-0.6666666666666667,0.0,0.0
2000,-0.6274509803921569,0.0,0.0
2000,-0.5882352941176471,0.0,0.0
2000,-0.5490196078431373,0.0,0.0
2000,-0.5098039215686274,0.0,0.0
2000,-0.47058823529411764,0.0,0.0
2000,-0.4313725490196078,0.0,0.0
2000,-0.39215686274509803,0.0,0.0
2000,-0.35294117647058826,0.0,0.0
2000,-0.3137254901960785,0.0,0.0
2000,-0.27450980392156865,0.0,0.0
2000,-0.23529411764705882,0.0,0.0
2000,-0.19607843137254904,0.0,0.0
2000,-0.1568627450980392,0.0,0.0
2000,-0.11764705882352938,0.0,0.0
2000,-0.0784313725490196,0.0,0.0
2000,-0.03921568627450983,4.636363636363639,4.636363636363639
2000,-5.551115123125783e-17,20.863636363636378,20.863636363636378
2000,0.039215686274509776,0.0,0.0
2000,0.07843137254901966,0.0,0.0
2000,0.11764705882352944,0.0,0.0
2000,0.1568627450980392,0.0,0.0
2000,0.196078431372549,0.0,0.0
2000,0.23529411764705876,0.0,0.0
2000,0.27450980392156865,0.0,0.0
2000,0.3137254901960784,0.0,0.0
2000,0.3529411764705882,0.0,0.0
2000,0.392156862745098,0.0,0.0
2000,0.43137254901960775,0.0,0.0
2000,0.47058823529411764,0.0,0.0
2000,0.5098039215686274,0.0,0.0
2000,0.5490196078431372,0.0,0.0
2000,0.5882352941176471,0.0,0.0
2000,0.6274509803921569,0.0,0.0
2000,0.6666666666666666,0.0,0.0
2000,0.7058823529411765,0.0,0.0
2000,0.7450980392156863,0.0,0.0
2000,0.7843137254901961,0.0,0.0
2000,0.8235294117647058,0.0,0.0
2000,0.8627450980392156,0.0,0.0
2000,0.9019607843137255,0.0,0.0
2000,0.9411764705882353,0.0,0.0
2000,0.9803921568627451,0.0,0.0
4000,-0.9803921568627452,0.0,0.0
4000,-0.9411764705882353,0.0,0.0
4000,-0.9019607843137255,0.0,0.0
4000,-0.8627450980392157,0.0,0.0
4000,-0.8235294117647058,0.0,0.0
4000,-0.7843137254901961,0.0,0.0
4000,-0.7450980392156863,0.0,0.0
4000,-0.7058823529411764,0.0,0.0
4000,-0.6666666666666667,0.0,0.0
4000,-0.6274509803921569,0.0,0.0
4000,-0.5882352941176471,0.0,0.0
4000,-0.5490196078431373,0.0,0.0
4000,-0.5098039215686274,0.0,0.0
4000,-0.47058823529411764,0.0,0.0
4000,-0.4313725490196078,0.0,0.0
4000,-0.39215686274509803,0.0,0.0
4000,-0.35294117647058826,0.0,0.0
4000,-0.3137254901960785,0.0,0.0
4000,-0.27450980392156865,0.0,0.0
4000,-0.23529411764705882,0.0,0.0
4000,-0.19607843137254904,0.0,0.0
4000,-0.1568627450980392,0.0,0.0
4000,-0.11764705882352938,0.0,0.0
4000,-0.0784313725490196,0.0,0.0
4000,-0.03921568627450983,4.636363636363639,4.636363636363639
4000,-5.551115123125783e-17,20.863636363636378,20.863636363636378
4000,0.039215686274509776,0.0,0.0
4000,0.07843137254901966,0.0,0.0
4000,0.11764705882352944,0.0,0.0
4000,0.1568627450980392,0.0,0.0
4000,0.196078431372549,0.0,0.0
4000,0.23529411764705876,0.0,0.0
4000,0.27450980392156865,0.0,0.0
4000,0.3137254901960784,0.0,0.0
4000,0.3529411764705882,0.0,0.0
4000,0.392156862745098,0.0,0.0
4000,0.43137254901960775,0.0,0.0
4000,0.47058823529411764,0.0,0.0
4000,0.5098039215686274,0.0,0.0
4000,0.5490196078431372,0.0,0.0
4000,0.5882352941176471,0.0,0.0
4000,0.6274509803921569,0.0,0.0
4000,0.6666666666666666,0.0,0.0
4000,0.7058823529411765,0.0,0.0
4000,0.7450980392156863,0.0,0.0
4000,0.7843137254901961,0.0,0.0
4000,0.8235294117647058,0.0,0.0
4000,0.8627450980392156,0.0,0.0
4000,0.9019607843137255,0.0,0.0
4000,0.9411764705882353,0.0,0.0
4000,0.9803921568627451,0.0,0.0
8000,-0.9803921568627452,0.0,0.0
8000,-0.9411764705882353,0.0,0.0
8000,-0.9019607843137255,0.0,0.0
8000,-0.8627450980392157,0.0,0.0
8000,-0.8235294117647058,0.0,0.0
8000,-0.7843137254901961,0.0,0.0
8000,-0.7450980392156863,0.0,0.0
8000,-0.7058823529411764,0.0,0.0
8000,-0.6666666666666667,0.0,0.0
8000,-0.6274509803921569,0.0,0.0
8000,-0.5882352941176471,0.0,0.0
8000,-0.5490196078431373,0.0,0.0
8000,-0.5098039215686274,0.0,0.0
8000,-0.47058823529411764,0.0,0.0
8000,-0.4313725490196078,0.0,0.0
8000,-0.39215686274509803,0.0,0.0
8000,-0.35294117647058826,0.0,0.0
8000,-0.3137254901960785,0.0,0.0
8000,-0.27450980392156865,0.0,0.0
8000,-0.23529411764705882,0.0,0.0
8000,-0.19607843137254904,0.0,0.0
8000,-0.1568627450980392,0.0,0.0
8000,-0.11764705882352938,0.0,0.0
8000,-0.0784313725490196,2.3181818181818197,2.3181818181818197
8000,-0.03921568627450983,2.3181818181818197,2.3181818181818197
8000,-5.551115123125783e-17,20.863636363636378,20.863636363636378
8000,0.039215686274509776,0.0,0.0
8000,0.07843137254901966,0.0,0.0
8000,0.11764705882352944,0.0,0.0
8000,0.1568627450980392,0.0,0.0
8000,0.196078431372549,0.0,0.0
8000,0.23529411764705876,0.0,0.0
8000,0.27450980392156865,0.0,0.0
8000,0.3137254901960784,0.0,0.0
8000,0.3529411764705882,0.0,0.0
8000,0.392156862745098,0.0,0.0
8000,0.43137254901960775,0.0,0.0
8000,0.47058823529411764,0.0,0.0
8000,0.5098039215686274,0.0,0.0
8000,0.5490196078431372,0.0,0.0
8000,0.5882352941176471,0.0,0.0
8000,0.6274509803921569,0.0,0.0
8000,0.6666666666666666,0.0,0.0
8000,0.7058823529411765,0.0,0.0
8000,0.7450980392156863,0.0,0.0
8000,0.7843137254901961,0.0,0.0
8000,0.8235294117647058,0.0,0.0
8000,0.8627450980392156,0.0,0.0
8000,0.9019607843137255,0.0,0.0
8000,0.9411764705882353,0.0,0.0
8000,0.9803921568627451,0.0,0.0
16000,-0.9803921568627452,0.0,0.0
16000,-0.9411764705882353,0.0,0.0
16000,-0.9019607843137255,0.0,0.0
16000,-0.8627450980392157,0.0,0.0
16000,-0.8235294117647058,0.0,0.0
16000,-0.7843137254901961,0.0,0.0
16000,-0.7450980392156863,0.0,0.0
16000,-0.7058823529411764,0.0,0.0
16000,-0.6666666666666667,0.0,0.0
16000,-0.6274509803921569,0.0,0.0
16000,-0.5882352941176471,0.0,0.0
16000,-0.5490196078431373,0.0,0.0
16000,-0.5098039215686274,0.0,0.0
16000,-0.47058823529411764,0.0,0.0
16000,-0.4313725490196078,0.0,0.0
16000,-0.39215686274509803,0.0,0.0
16000,-0.35294117647058826,0.0,0.0
16000,-0.3137254901960785,0.0,0.0
16000,-0.27450980392156865,0.0,0.0
16000,-0.23529411764705882,0.0,0.0
16000,-0.19607843137254904,0.0,0.0
16000,-0.1568627450980392,0.0,0.0
16000,-0.11764705882352938,0.0,0.0
16000,-0.0784313725490196,0.0,0.0
16000,-0.03921568627450983,4.636363636363639,4.636363636363639
16000,-5.551115123125783e-17,20.863636363636378,20.863636363636378
16000,0.039215686274509776,0.0,0.0
16000,0.07843137254901966,0.0,0.0
16000,0.11764705882352944,0.0,0.0
16000,0.1568627450980392,0.0,0.0
16000,0.196078431372549,0.0,0.0
16000,0.23529411764705876,0.0,0.0
16000,0.27450980392156865,0.0,0.0
16000,0.3137254901960784,0.0,0.0
16000,0.3529411764705882,0.0,0.0
16000,0.392156862745098,0.0,0.0
16000,0.43137254901960775,0.0,0.0
16000,0.47058823529411764,0.0,0.0
16000,0.5098039215686274,0.0,0.0
16000,0.5490196078431372,0.0,0.0
16000,0.5882352941176471,0.0,0.0
16000,0.6274509803921569,0.0,0.0
16000,0.6666666666666666,0.0,0.0
16000,0.7058823529411765,0.0,0.0
16000,0.7450980392156863,0.0,0.0
16000,0.7843137254901961,0.0,0.0
16000,0.8235294117647058,0.0,0.0
16000,0.8627450980392156,0.0,0.0
16000,0.9019607843137255,0.0,0.0
16000,0.9411764705882353,0.0,0.0
16000,0.9803921568627451,0.0,0.0

[EXTREME_CHUNKS_OCTAVE_ANALYSIS]
chunk_type,time_seconds,crest_factor_db,frequency_hz,max_amplitude_db,rms_db,chunk_crest_factor_db
min_crest,23.0,10.391310691833496,31.25,-18.55071485866429,-29.067931423783236,10.51721656511895
min_crest,23.0,10.391310691833496,62.5,-4.019803351904796,-15.919838886779672,11.900035534874876
min_crest,23.0,10.391310691833496,125,-2.581491758503904,-17.317245512571734,14.73575375406783
min_crest,23.0,10.391310691833496,250,-4.5428287610467875,-18.047305150632546,13.50447638958576
min_crest,23.0,10.391310691833496,500,-7.485428196196918,-20.5408212315715,13.05539303537458
min_crest,23.0,10.391310691833496,1000,-8.108152446539997,-21.518719527773193,13.410567081233197
min_crest,23.0,10.391310691833496,2000,-8.553753979553152,-26.176775369966986,17.62302139041384
min_crest,23.0,10.391310691833496,4000,-5.476129272353476,-27.365839337476437,21.889710065122966
min_crest,23.0,10.391310691833496,8000,-9.338286304427704,-29.341693052372143,20.00340674794444
min_crest,23.0,10.391310691833496,16000,-12.639332598085758,-32.058625883478385,19.41929328539263
max_crest,39.0,12.715349197387695,31.25,-13.96222728107509,-29.353280787978004,15.391053506902912
max_crest,39.0,12.715349197387695,62.5,-4.075035845011096,-18.28392143593659,14.208885590925494
max_crest,39.0,12.715349197387695,125,-2.730874114784487,-19.17383955162421,16.44296543683972
max_crest,39.0,12.715349197387695,250,-3.078720412671256,-21.139602322568997,18.06088190989774
max_crest,39.0,12.715349197387695,500,-8.623823058568828,-22.858079150467503,14.234256091898681
max_crest,39.0,12.715349197387695,1000,-12.822814683192654,-25.885765235907733,13.062950552715078
max_crest,39.0,12.715349197387695,2000,-8.190321618935082,-26.84153512546571,18.651213506530627
max_crest,39.0,12.715349197387695,4000,-8.500026429976632,-30.151755241174865,21.65172881119823
max_crest,39.0,12.715349197387695,8000,-7.749914592399431,-30.018521184834785,22.268606592435354
max_crest,39.0,12.715349197387695,16000,-11.667543769559463,-31.83352091881735,20.165977149257888
